Item No,Price A,Price Hot
0ELLF1804N50,450.00,350
0ELLF1804N50,450.00,350
100HMX50,78.00,72
10CPUAGULED27,7.42,6.63
10CPUAGULED30,7.42,6.63
10CPUALED27,7.42,6.63
10CPUALED30,7.42,6.63
10G25DLED927/JA8,3.45,3.2
10LELK5.5B930,9.62,8.88
10LELK5.5B930F,9.62,8.88
10P30NDV30FL,2.20,2
10P30NDV50FL,2.20,2
10PUBDLED927/JA8,7.16,6.63
10PUBGUDLED927/JA8,7.16,6.63
10PUBGUDLED930/JA8,7.16,6.63
10PUBGULED27,4.19,3.92
10PUBGULED30,4.19,3.92
10PUBLED27,4.19,3.92
10PUBLED30,4.19,3.92
11BR30DLED27/G3,3.00,2.7
11BR30DLED30/G3,3.00,2.7
11BR30DLED40/G3,3.00,2.7
11BR30DLED927/G4,3.50,3.2
11BR30DLED930/G4,3.50,3.2
11P30D27FL,3.35,3.05
11P30D27NF,3.35,3.05
11P30D30FL,3.35,3.05
11P30D30NF,3.35,3.05
11P30D40FL,3.35,3.05
11P30D40NF,3.35,3.05
11P30D50FL,3.35,3.05
11P30WLND27FL,3.35,3.05
11P30WLND27NF,3.35,3.05
11P30WLND30FL,3.35,3.05
11P30WLND30NF,3.35,3.05
11P30WLND40FL,3.35,3.05
11P30WLND40NF,3.35,3.05
120PT40,108.00,99
120PT50,108.00,99
12BR40DLED27/G3,4.00,3.65
12BR40DLED30/G3,4.00,3.65
12BR40DLED40/G3,4.00,3.65
12P30LNDLED927FL/JA8,5.25,4.95
12P30LNDLED930FL/JA8,5.25,4.95
12PLG24QHLED27,7.40,6.65
12PLG24QHLED30,7.40,6.65
12PLG24QHLED35,7.40,6.65
12PLG24QHLED40,7.40,6.65
12PLG24QVLED27,7.40,6.65
12PLG24QVLED30,7.40,6.65
12PLG24QVLED35,7.40,6.65
12PLG24QVLED40,7.40,6.65
13BR40DV27,3.50,3
13BR40DV30,3.50,3
13BR40DV50,3.50,3
13P30LNLED230FL,9.55,8.5
13P30LNLED240FL,9.55,8.5
13P38NDV30FL,3.50,3.25
13P38NDV50FL,3.50,3.25
13P38WD27FL,5.85,5.3
13P38WD27FLB/2P/WS,9.55,8.75
13P38WD30FL,5.85,5.3
13P38WD30NF,5.85,5.3
13P38WD40FL,5.85,5.3
13P38WD40NF,5.85,5.3
13P38WD50FLB/2P/WS,9.55,8.75
14A19/3W27,5.85,5.6
14A19/3W27/2P/WS,11.15,10.6
14A19/3W30,5.85,5.6
14A19/3W50,5.85,5.6
14A19/3W50/2P/WS,11.15,10.6
15A21/3WLED927,7.25,6.85
15P38DLED927FL/JA8,6.90,6.35
15P38DLED930FL/JA8,6.90,6.35
15P38WD27FL,6.20,5.8
15P38WD30FL,6.20,5.8
15P38WD40FL,6.20,5.8
17A21D27,4.20,4
17A21D30,4.20,4
17A21D40,4.20,4
17A21D50,4.20,4
17A21ND27,4.20,4
17A21ND30,4.20,4
17A21ND40,4.20,4
17A21ND50,4.20,4
17BR40DLED27/G3,5.45,5.05
17BR40DLED30/G3,5.45,5.05
17BR40DLED40/G3,5.45,5.05
17P38LED230FL,16.30,14.85
17P38LED240FL,16.30,14.85
18LELK11.5B930,13.50,12.5
18LELK11.5B930F,13.52,12.48
2.5G4LED27,5.30,4.8
2.5WDGLED27,5.30,4.8
21A21D27,7.40,7.15
21A21D30,7.40,7.15
21A21D40,7.40,7.15
21A21D50,7.40,7.15
21A21ND27,7.40,7.15
21A21ND30,7.40,7.15
21A21ND40,7.40,7.15
21A21ND50,7.40,7.15
26A23D27,9.55,9
26A23D30,9.55,9
26A23D40,9.55,9
26A23D50,9.55,9
26A23ND27,9.55,9
26A23ND30,9.55,9
26A23ND40,9.55,9
26A23ND50,9.55,9
36PT40,35.00,33
36PT50,35.00,33
3G9DLED27,4.20,3.8
3G9LED27,4.20,3.8
4.5MR16GUD27FL,2.45,2.25
4.5MR16GUD30FL,2.45,2.25
40HMX50,37.00,34
54PT40,40.00,37
54PT50,40.00,37
5G16.5DLED27/G2,2.25,2
5G9DLED27,6.00,5.5
5G9LED27,6.00,5.5
6.5MR16GUD927FL/JA8,3.20,2.9
6.5MR16GUD930FL/JA8,3.20,2.9
60HMX50,42.00,39
6PLE26LED27,6.50,6
