productcode,productname,productprice,saleprice,available
100HMX50,"MaxLite 100W LED HIGHMAX, 5000K with EX39 BASE",103.74,90,#N/A
10A19DLED927-G2-JA8,"Maxlite A19 Bulb, High CRI, JA8 Certified, 10 Watt, 2700K, Open Rated, Dimmable, Replaces 60 Watt",3.18,2.79,#N/A
10A19DLED930-G2-JA8,"Maxlite A19 Bulb, High CRI, JA8 Certified, 10 Watt, 3000K, Open Rated, Dimmable, Replaces 60 Watt",2.65,,#N/A
10CPUAGULED927,"MaxLite Compact Puck Lamp, Non-Dimming, GU24 Base, 2700K Replaces 60 Watt",9.87,8.29,#N/A
10CPUAGULED930,"MaxLite Compact Puck Lamp, Non-Dimming, GU24 Base, 2700K Replaces 60 Watt",9.87,8.29,#N/A
10CPUALED927,"MaxLite Compact Puck Lamp, Non-Dimming, E26 Base, 2700K Replaces 60 Watt",9.87,8.29,#N/A
10CPUALED930,"MaxLite Compact Puck Lamp, Non-Dimming, E26 Base, 3000K Replaces 60 Watt",9.87,8.29,#N/A
10G25DLED927-JA8,"Maxlite G125 JA8 Certified Globe Bulb, Dimmable, Replaces 100 Watt",4.59,3.98,#N/A
10P30NDV30FL,"Maxlite PAR30 Bulb, 10 Watt, Non-Dimmable, 3000K",2.93,2.5,#N/A
10P30NDV50FL,"Maxlite PAR30 Bulb, 10 Watt, Non-Dimmable, 5000K",2.93,2.5,#N/A
10PUAGULED27,"MaxLite Puck Lamp, Non-Dimming, GU24 Base, Replaces 60 Watt, 2700K",11.28,6.38,#N/A
10PUAGULED30,"MaxLite Puck Lamp, Non-Dimming, GU24 Base, Replaces 60 Watt, 3000K",11.28,6.38,#N/A
10PUALED30,"MaxLite Puck Lamp, 10 Watt Non-Dimming, Replaces 60 Watt",11.28,6.38,#N/A
10PUBDLED927-JA8,"MaxLite Puck Lamp, 10 Watt, E26, Dimmable, JA8, 2700K",9.52,8.29,#N/A
10PUBDLED930-JA8,"MaxLite Puck Lamp, 10 Watt, E26, Dimmable, JA8, 3000K",5.25,,#N/A
10PUBGUDLED27-JA8,"MaxLite Puck Lamp, 10 Watt, GU24, Dimmable, JA8, 2700K",9.52,8.29,#N/A
10PUBGUDLED30-JA8,"MaxLite Puck Lamp, 10 Watt, GU24, Dimmable, JA8, 3000K",5.25,,#N/A
10PUBLED27,"MaxLite LED Puck Lamp, 10 Watt, E26, 2700K",5.57,4.9,#N/A
10PUBLED30,"MaxLite LED Puck Lamp, 10 Watt, E26, 3000K",5.57,4.9,#N/A
11BR30DLED927-G4,"Maxlite BR30 Bulb, High CRI, Replaces 65 Watt, 2700K, Dimmable",4.66,3.98,#N/A
11BR30DLED930-G4,"Maxlite BR30 Bulb, High CRI, Replaces 65 Watt, 3000K, Dimmable",4.66,3.98,#N/A
11P30D27-,"Maxlite PAR30 Bulb, 11 Watt, Short Neck, Damp Rated, Dimmable, 2700K",4.46,3.81,#N/A
11P30D30-,"Maxlite PAR30 Bulb, 11 Watt, Short Neck, Damp Rated, Dimmable, 3000K",4.46,3.81,#N/A
11P30D40-,"Maxlite PAR30 Bulb, 11 Watt, Short Neck, Damp Rated, Dimmable, 4000K",4.46,3.81,#N/A
11P30WLND27-,"Maxlite PAR30 Bulb, 11 Watt, Long Neck, Damp Rated, Dimmable, 2700K",4.46,3.81,#N/A
11P30WLND30-,"Maxlite PAR30 Bulb, 11 Watt, Long Neck, Damp Rated, Dimmable, 3000K",4.46,3.81,#N/A
11P30WLND40-,"Maxlite PAR30 Bulb, 11 Watt, Long Neck, Damp Rated, Dimmable, 4000K",4.46,3.81,#N/A
